ID,Filename,Utterance start time,Estimated Lexical Match,Certainty,Target Letter,Audio Quality Comment,Cluster Status,Cluster ID
0005_FZU,VF-001-20170310101810.wav,2,små,3.0,s,low,0,0
0005_FZU,VF-001-20170310101810.wav,5,solvogn,3.0,s,low,0,1
0005_FZU,VF-001-20170310101810.wav,7,,1.0,s,low,1,1
0005_FZU,VF-001-20170310101810.wav,10,snaps,3.0,s,low,1,1
0005_FZU,VF-001-20170310101810.wav,15,styrevogn,1.0,s,low,0,2
0005_FZU,VF-001-20170310101810.wav,18,skrue,2.0,s,low,1,2
0005_FZU,VF-001-20170310101810.wav,27,sovs,3.0,s,low,0,3
0005_FZU,VF-001-20170310101810.wav,33,solvarm,1.0,s,low,1,3
0005_FZU,VF-001-20170310101810.wav,45,skib,3.0,s,low,0,4
0005_FZU,VF-001-20170310101810.wav,51,,1.0,s,low,1,4
0005_FZU,VF-001-20170310101810.wav,54,solsikke,3.0,s,low,1,4
0005_FZU,VF-001-20170310101810.wav,56,solsikkefrø,3.0,s,low,1,4
0005_FZU,VF-001-20170310114125.wav,8,fagter,1.0,f,low,0,1
0005_FZU,VF-001-20170310114125.wav,9,fagne,1.0,f,low,1,1
0005_FZU,VF-001-20170310114125.wav,11,,,f,low,1,1
0005_FZU,VF-001-20170310114125.wav,14,fantom,2.0,f,low,1,1
0005_FZU,VF-001-20170310114125.wav,19,,,f,low,0,2
0005_FZU,VF-001-20170310114125.wav,21,fisk,3.0,f,low,1,2
0005_FZU,VF-001-20170310114125.wav,22,fiskestang,3.0,f,low,1,2
0005_FZU,VF-001-20170310114125.wav,24,fiskehjul,1.0,f,low,1,2
0005_FZU,VF-001-20170310114125.wav,27,fiskenet,2.0,f,low,1,2
0005_FZU,VF-001-20170310114125.wav,29,fiskekrog,3.0,f,low,1,2
0005_FZU,VF-001-20170310114125.wav,37,,,f,low,0,0
0005_FZU,VF-001-20170310114125.wav,52,finansmænd,3.0,f,low,0,0
0005_FZU,VF-001-20170310125920.wav,4,kammer,2.0,k,low,0,0
0005_FZU,VF-001-20170310125920.wav,9,kam,1.0,k,low,0,1
0005_FZU,VF-001-20170310125920.wav,11,krabat,1.0,k,low,1,1
0005_FZU,VF-001-20170310125920.wav,19,kande,1.0,k,low,0,2
